Time	Temp	Hum	Baro	Acc(x)	Acc(y)	Acc(z)	Mag(x)	Mag(y)	Mag(z)	Gyro(x)	Gyro(y)	Gyro(z)	Light
19:30:14	-9999	-9999	1007.23	-4.0797195	1.1492168	8.90643	37.1875	-19.375	-15.3125	0.010995574	0.03176499	-0.010995574	365.0
19:30:15	-9999	-9999	1007.25995	-4.0414124	1.091756	8.887277	37.5625	-19.0625	-14.875	-0.004886922	-0.010995574	0.0036651916	365.0
19:30:16	-9999	-9999	1007.32	-3.9839516	1.0534488	8.887277	37.625	-19.125	-15.75	-0.007330383	0.012217305	-0.0061086523	365.0
19:30:17	-9999	-9999	1007.35	-3.964798	1.1300632	8.887277	37.3125	-18.8125	-15.0625	-0.0012217305	0.0061086523	-0.009773844	365.0
19:30:18	-9999	-9999	1007.25995	-3.964798	1.1109096	8.848969	37.4375	-18.6875	-14.875	-0.004886922	-0.018325957	0.0036651916	365.0
19:30:19	-9999	-9999	1007.32	-4.0222588	1.091756	8.868123	37.4375	-19.5625	-15.375	0.008552114	0.008552114	-0.002443461	365.0
19:30:20	-9999	-9999	1007.38	-3.9839516	1.1492168	8.90643	37.6875	-19.625	-15.0625	-0.002443461	0.004886922	-0.0012217305	365.0
19:30:21	-9999	-9999	1007.25995	-4.0414124	1.1300632	8.963891	37.625	-19.125	-15.5625	0.012217305	0.02443461	-0.0061086523	365.0
19:30:22	-9999	-9999	1007.25995	-3.9839516	1.1300632	8.868123	37.6875	-18.375	-15.875	0.013439035	0.029321533	-0.014660766	365.0
19:30:23	-9999	-9999	1007.25995	-4.0414124	1.0726024	8.848969	37.5	-18.875	-15.5	-0.004886922	-0.007330383	0.0061086523	365.0
19:30:24	-9999	-9999	1007.29	-3.964798	1.1109096	8.7532015	37.8125	-18.9375	-15.6875	0.012217305	0.007330383	-0.004886922	365.0
19:30:25	-9999	-9999	1007.23	-3.9456444	1.1300632	8.791509	38.125	-18.625	-16.4375	0.012217305	-0.0061086523	-0.0036651916	365.0
19:30:26	-9999	-9999	1007.29	-3.9839516	1.0342951	8.887277	37.875	-19.0	-15.8125	-0.007330383	-0.007330383	0.0012217305	365.0
19:30:27	-9999	-9999	1007.41	-4.0797195	1.2641385	8.829816	37.8125	-18.3125	-15.5	0.02565634	0.06963864	-0.015882496	365.0
19:30:28	-9999	-9999	1007.35	-4.0222588	1.1109096	8.868123	38.125	-19.1875	-15.25	0.019547688	0.012217305	-0.002443461	365.0
19:30:29	-9999	-9999	1007.35	-4.0222588	1.1300632	8.944737	37.9375	-19.0625	-15.4375	0.0	0.0012217305	-0.007330383	365.0
19:30:30	-9999	-9999	1007.35	-4.060566	1.1492168	8.848969	38.375	-18.0	-15.8125	0.013439035	0.035430185	-0.014660766	365.0
19:30:31	-9999	-9999	1007.32	-3.9839516	1.1300632	8.925584	37.9375	-18.3125	-15.4375	0.013439035	0.0	-0.0061086523	365.0
19:30:32	-9999	-9999	1007.32	-3.9456444	1.2066777	8.887277	37.625	-19.125	-15.8125	0.012217305	0.004886922	-0.0036651916	365.0
19:30:33	-9999	-9999	1007.38	-3.9839516	1.1683705	8.810662	38.0625	-19.3125	-15.125	-0.004886922	-0.0036651916	0.002443461	365.0
19:30:34	-9999	-9999	1007.35	-3.9073372	1.1109096	8.772355	37.375	-19.8125	-15.9375	0.0036651916	-0.002443461	-0.004886922	365.0
19:30:35	-9999	-9999	1007.35	-4.003105	1.1300632	8.963891	38.25	-21.1875	-15.5625	-0.007330383	0.0012217305	0.0	365.0
19:30:36	-9999	-9999	1007.32	-3.964798	1.1300632	8.944737	36.625	-14.9375	-16.0	0.007330383	0.018325957	-0.004886922	365.0
19:30:37	-9999	-9999	1007.25995	-3.9073372	1.1492168	8.90643	38.0625	-19.75	-15.0625	-0.002443461	0.0036651916	-0.009773844	393.0
19:30:38	-9999	-9999	1007.41	-3.8881836	1.1875241	8.848969	37.5625	-19.875	-15.4375	0.013439035	0.007330383	-0.0012217305	393.0
19:30:39	-9999	-9999	1007.25995	-3.964798	1.1300632	8.829816	37.3125	-20.0625	-15.125	0.009773844	0.015882496	-0.007330383	393.0
19:30:40	-9999	-9999	1007.35	-3.9839516	1.0534488	8.829816	36.5625	-18.625	-14.375	0.0061086523	-0.008552114	0.0061086523	393.0
19:30:41	-9999	-9999	1007.35	-3.9456444	1.1875241	8.887277	37.375	-20.375	-13.4375	0.017104227	0.009773844	0.0	365.0
19:30:42	-9999	-9999	1007.29	-3.9456444	1.1683705	8.90643	37.875	-19.375	-15.5625	-0.004886922	-0.009773844	-0.0036651916	393.0
19:30:43	-9999	-9999	1007.29	-3.9839516	1.091756	8.810662	38.0	-19.375	-15.5625	0.007330383	0.0036651916	-0.0036651916	393.0
19:30:44	-9999	-9999	1007.29	-4.003105	1.1300632	8.944737	38.5	-19.5625	-14.0625	0.018325957	0.008552114	-0.004886922	365.0
19:30:45	-9999	-9999	1007.32	-3.9073372	1.0534488	8.925584	37.6875	-19.5	-15.0625	-0.004886922	-0.0012217305	0.0036651916	393.0
19:30:46	-9999	-9999	1007.25995	-3.964798	1.1875241	8.887277	38.0	-19.125	-15.8125	0.014660766	0.012217305	-0.0012217305	393.0
19:30:47	-9999	-9999	1007.35	-4.003105	1.0534488	8.944737	37.9375	-18.75	-15.75	0.019547688	0.015882496	0.0036651916	393.0
19:30:48	-9999	-9999	1007.29	-3.9456444	1.1492168	8.887277	38.4375	-16.6875	-15.0	-0.0012217305	0.008552114	-0.004886922	393.0
19:30:49	-9999	-9999	1007.25995	-3.8498764	1.2258313	8.925584	38.5625	-18.9375	-14.3125	-0.0012217305	-0.007330383	0.002443461	393.0
19:30:50	-9999	-9999	1007.32	-3.9456444	1.1492168	8.90643	38.3125	-17.3125	-15.1875	0.014660766	0.004886922	-0.0061086523	393.0
19:30:51	-9999	-9999	1007.25995	-3.9456444	1.091756	8.887277	38.75	-17.9375	-15.625	0.004886922	-0.0012217305	-0.0012217305	393.0
19:30:52	-9999	-9999	1007.25995	-4.0222588	1.2641385	8.848969	38.3125	-18.0625	-15.875	0.010995574	0.019547688	-0.010995574	393.0
19:30:53	-9999	-9999	1007.38	-5.305551	1.5705963	8.0445175	39.375	-18.75	-14.25	0.042760566	0.09040806	-0.02687807	393.0
19:30:54	-9999	-9999	1007.29	-5.171476	1.6472107	8.00621	40.0625	-19.5625	-13.125	-0.0061086523	-0.008552114	0.0036651916	393.0
19:30:55	-9999	-9999	1007.35	-4.596867	1.340753	8.408437	40.0625	-20.8125	-13.375	-0.0036651916	0.02321288	-0.02076942	393.0
19:30:56	-9999	-9999	1007.32	-4.0222588	1.4748282	8.695741	38.25	-20.5625	-14.0625	0.014660766	0.012217305	-0.010995574	365.0
19:30:57	-9999	-9999	1007.35	-3.86903	1.3024458	8.963891	37.625	-21.3125	-15.6875	-0.013439035	0.07574729	-0.02443461	365.0
19:30:58	-9999	-9999	1007.38	-4.807557	1.4939818	8.408437	38.5625	-20.4375	-15.0	0.010995574	0.042760566	0.012217305	365.0
19:30:59	-9999	-9999	1007.29	-4.0222588	1.2449849	8.676587	38.25	-21.5	-16.5625	0.04642576	0.02076942	-0.0061086523	365.0
19:31:00	-9999	-9999	1007.32	-4.5202527	1.283292	8.389283	38.3125	-21.875	-15.6875	-0.039095376	0.021991149	0.009773844	365.0
19:31:01	-9999	-9999	1007.38	-5.0374002	1.5131354	8.408437	37.8125	-21.9375	-17.75	0.008552114	0.03176499	-0.002443461	365.0
19:31:02	-9999	-9999	1007.29	-4.9416323	1.436521	8.274361	37.875	-20.25	-16.9375	0.059864793	0.059864793	-0.019547688	365.0
19:31:03	-9999	-9999	1007.38	-5.1140146	1.3599066	8.63828	37.5625	-20.375	-18.6875	-0.03176499	-0.02076942	0.02565634	365.0
19:31:04	-9999	-9999	1007.41	-4.76925	1.4939818	8.312668	37.25	-21.25	-20.0	-0.009773844	0.02076942	0.0	365.0
19:31:05	-9999	-9999	1007.25995	-4.8458643	1.7621324	8.695741	35.1875	-26.0625	-20.8125	0.007330383	-0.009773844	0.007330383	365.0
19:31:06	-9999	-9999	1007.41	-4.76925	1.4939818	8.178593	40.25	-20.4375	-26.1875	0.081855945	0.14538592	-0.04153884	365.0
19:31:07	-9999	-9999	1007.32	-4.4436383	1.3215994	8.312668	43.125	-19.3125	-16.875	0.02321288	0.0036651916	-0.009773844	365.0
19:31:08	-9999	-9999	1007.32	-4.6351743	1.5131354	8.389283	39.625	-18.5625	-13.5	-0.02565634	0.065973446	-0.014660766	365.0
19:31:09	-9999	-9999	1007.32	-3.2561142	1.1492168	8.734048	37.75	-19.6875	-11.375	0.010995574	-0.10751228	0.058643065	365.0
19:31:10	-9999	-9999	1007.44	-3.9073372	0.9959879	9.040505	39.4375	-17.8125	-16.0625	0.014660766	-0.04520403	0.012217305	365.0
19:31:11	-9999	-9999	1007.38	-4.0414124	1.2258313	8.561666	41.5	-19.5	-16.625	-0.017104227	-0.09162979	0.04153884	365.0
19:31:12	-9999	-9999	1007.38	-4.3861775	1.3790601	8.331821	43.25	-18.25	-15.8125	-0.030543262	-0.040317107	0.018325957	365.0
19:31:13	-9999	-9999	1007.44	-3.4284968	1.2258313	9.653421	45.0	-18.9375	-22.5	-0.06352998	-0.103847094	0.034208454	365.0
19:31:14	-9999	-9999	1007.44	-2.930503	0.9768343	9.442732	42.6875	-20.3125	-20.625	-0.058643065	0.037873644	-0.037873644	393.0
19:31:15	-9999	-9999	1007.44	-2.96881	0.7661445	9.078813	41.625	-17.3125	-23.125	0.010995574	0.02687807	-0.002443461	393.0
19:31:20	-9999	-9999	1007.44	-3.3518825	0.7469909	9.481039	42.1875	-17.875	-22.125	0.043982297	0.06719518	-0.014660766	365.0
