Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473908005067,-9999,-9999,1005.27997,-0.22984336,8.580819,5.267244,-0.07910451,0.18831539,0.19638968,-8.1875,63.75,-3.6875,12.8845215,-9999,0.002443461,0.008552114,-0.004886922,0.0,-9999,-9999,-9999
1473908005169,-9999,-9999,1005.37,-0.19153613,8.714894,5.094861,-0.039206877,0.31953144,0.028791428,-8.5625,63.75,-3.75,12.98407,-9999,0.013439035,-0.008552114,0.004886922,0.0,-9999,-9999,-9999
1473908005274,-9999,-9999,1005.31,-0.1340753,8.848969,4.9416323,0.021141276,0.44569588,-0.11121893,-8.875,63.5625,-3.875,13.203278,-9999,-0.012217305,-0.02321288,0.0061086523,0.0,-9999,-9999,-9999
1473908005376,-9999,-9999,1005.31,-0.095768064,8.542512,4.7884035,0.06005627,0.13295937,-0.25397062,-9.125,63.1875,-3.75,13.46051,-9999,-0.0036651916,0.010995574,-0.012217305,0.0,-9999,-9999,-9999
1473908005480,-9999,-9999,1005.33997,-0.15322891,8.523358,4.8841715,0.0028969646,0.10447407,-0.14259768,-8.75,63.1875,-3.8125,13.695679,-9999,-0.009773844,0.008552114,-0.007330383,0.0,-9999,-9999,-9999
1473908005585,-9999,-9999,1005.31,-0.076614454,8.868123,4.9799395,0.08311792,0.44069576,-0.032378674,-8.375,63.5,-3.625,13.722992,-9999,-0.0036651916,0.02321288,-0.02443461,0.0,-9999,-9999,-9999
1473908005693,-9999,-9999,1005.31,-0.21068975,8.848969,4.6926355,-0.036341116,0.41242027,-0.3038249,-8.75,63.3125,-3.5625,13.83728,-9999,0.0036651916,0.036651913,-0.032986723,0.0,-9999,-9999,-9999
1473908005794,-9999,-9999,1005.39996,-0.2873042,8.504205,4.654328,-0.13024968,0.26570225,-0.24333048,-8.8125,63.1875,-4.3125,14.064484,-9999,-0.008552114,0.012217305,-0.021991149,0.0,-9999,-9999,-9999
1473908005895,-9999,-9999,1005.39996,-0.2681506,8.772355,4.6926355,-0.07952982,0.097800255,-0.2561221,-8.9375,63.375,-3.9375,14.297577,-9999,0.013439035,-0.0012217305,-0.0012217305,0.0,-9999,-9999,-9999
1473908005997,-9999,-9999,1005.39996,-0.2681506,8.90643,4.596867,-0.18375944,0.0805912,-0.3793373,-8.375,63.375,-3.625,14.4878845,-9999,0.004886922,-0.042760566,0.014660766,0.0,-9999,-9999,-9999
