Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,DegreesAvg,Turn,TurnAbs,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1477086313301,-9999,-9999,987.2977,-0.06777954,-0.23822021,10.31543,-0.012275612,-0.61656064,0.5859966,-2.1821976,-11.881638,3.9930344,168.9046,164.96006300000002,-9999,-9999,-0.020523071,0.015808105,0.012802124,597.0,-9999,-9999,-9999
1477086313403,-9999,-9999,987.2977,0.41345215,-0.59375,10.15741,0.47331202,-1.0016453,0.38715744,-2.094841,-11.1831665,3.993225,168.76385,165.08458320000003,-9999,-9999,-0.040756226,0.0056915283,0.024520874,601.0,-9999,-9999,-9999
1477086313506,-9999,-9999,987.35016,-0.16235352,-0.2501831,8.335419,0.028456368,-0.5039997,-1.4214516,-1.5714645,-11.095619,4.4151306,169.13916,165.2034772,-9999,-9999,0.06097412,0.007827759,-0.069229126,601.0,-9999,-9999,-9999
1477086313608,-9999,-9999,987.3504,-0.86505127,-0.73620605,10.752365,-0.80493236,-1.0634842,0.98913956,-1.3093948,-11.357498,2.389717,170.64587,165.34205620000003,-9999,-9999,-0.03010559,0.014221191,-0.010101318,601.0,-9999,-9999,-9999
1477086313716,-9999,-9999,987.37665,0.34402466,-0.980423,10.019745,0.3947569,-1.2467549,0.22181988,-0.96035004,-11.968803,2.3054123,171.7591,165.49415480000005,-9999,-9999,-0.066329956,-0.015075684,0.12199402,579.0,-9999,-9999,-9999
1477086313819,-9999,-9999,987.3763,-0.25811768,-0.78289795,9.588776,-0.1779319,-0.9926293,-0.33832073,-1.3963699,-11.357689,2.3899078,172.13025,165.6521918,-9999,-9999,0.055648804,-0.0022888184,-0.04046631,579.0,-9999,-9999,-9999
1477086313924,-9999,-9999,987.3236,-0.4556427,-1.004364,10.577591,-0.32595742,-1.2293864,0.8856497,-1.3965607,-10.659409,3.8244247,172.54346,165.8194966,-9999,-9999,0.011962891,0.007827759,0.006942749,561.0,-9999,-9999,-9999
1477086314030,-9999,-9999,987.40247,-0.021102905,-1.1013336,9.979034,0.15612912,-1.2478663,0.14647007,-1.4837265,-11.619568,3.9087296,172.62738,165.99535220000004,-9999,-9999,-0.014129639,-0.019866943,0.04689026,548.0,-9999,-9999,-9999
1477086314135,-9999,-9999,987.376,-0.3574829,-0.8894348,10.959457,-0.266264,-1.0596753,1.03895,-2.0946503,-10.397339,4.3304443,171.75897,166.16729420000004,-9999,-9999,-0.059402466,-0.07046509,-0.008514404,548.0,-9999,-9999,-9999
1477086314238,-9999,-9999,987.3236,0.08065796,-0.8595123,9.334991,0.14645879,-1.0283155,-0.55025005,-2.0950317,-10.659218,3.3180237,171.02313,166.32299360000005,-9999,-9999,-0.03277588,-0.009216309,0.05860901,538.0,-9999,-9999,-9999
1477086314342,-9999,-9999,987.4284,-0.114471436,-0.846344,9.64624,0.09089862,-0.947129,-0.011245728,-1.9207001,-10.833931,1.9680023,170.48938,166.46228680000004,-9999,-9999,0.03807068,0.020614624,-0.018630981,524.0,-9999,-9999,-9999
1477086314455,-9999,-9999,987.42847,-0.097717285,-1.0666046,10.266342,0.07290326,-1.100753,0.4767475,-1.5714645,-11.008453,2.136612,170.88965,166.61341100000004,-9999,-9999,-0.029037476,-0.02999878,-0.0069122314,524.0,-9999,-9999,-9999
1477086314558,-9999,-9999,987.3759,-0.25572205,-1.019928,9.967072,-0.05874732,-0.957128,0.14749908,-1.7454147,-10.39753,2.3895264,171.16199,166.76172880000001,-9999,-9999,-0.01838684,0.05895996,0.022384644,516.0,-9999,-9999,-9999
1477086314660,-9999,-9999,987.4282,-0.049819946,-1.2904663,9.828201,0.1400945,-1.2427046,0.086826324,-2.9680252,-10.484886,4.2463303,169.67639,166.86952300000002,-9999,-9999,0.0013122559,-0.009216309,0.009063721,508.0,-9999,-9999,-9999
1477086314762,-9999,-9999,987.4019,0.14170837,-1.3191986,10.269928,0.35054576,-1.1977177,0.25622654,-2.4440765,-11.008453,4.5841217,168.54236,166.950541,-9999,-9999,-0.05407715,-0.020935059,0.015991211,508.0,-9999,-9999,-9999
1477086314868,-9999,-9999,987.4282,-0.31199646,-1.043869,10.084381,-0.0858762,-0.98769563,0.35891724,-2.3569107,-11.881638,4.583931,168.27734,167.0186062,-9999,-9999,-0.0040130615,0.062683105,-0.012237549,508.0,-9999,-9999,-9999
1477086314970,-9999,-9999,987.40186,-0.2796631,-1.4293365,9.528931,-0.0648732,-1.3076235,-0.28186417,-1.0477066,-12.143517,3.40271,169.1294,167.1052322,-9999,-9999,-0.036499023,0.024871826,-0.007446289,487.0,-9999,-9999,-9999
1477086315073,-9999,-9999,987.4018,-0.4041748,-1.4341278,10.006577,-0.25021178,-1.248143,0.10493946,-0.17433167,-11.619759,2.3899078,171.56201,167.2500906,-9999,-9999,-0.031707764,0.0025024414,0.014923096,468.0,-9999,-9999,-9999
1477086315177,-9999,-9999,987.4018,-0.028274536,-1.1863251,9.9036255,0.21411486,-0.9692532,0.11235237,-0.7856369,-10.834122,1.9680023,172.7774,167.4046974,-9999,-9999,-0.0072021484,-0.016677856,0.026641846,460.0,-9999,-9999,-9999
1477086315281,-9999,-9999,987.4279,-0.34910583,-1.380249,9.80426,-0.16994168,-1.1413949,0.10236454,-1.3967514,-10.921097,2.812004,173.0448,167.56416879999998,-9999,-9999,0.041793823,0.032852173,-0.019699097,475.0,-9999,-9999,-9999
1477086315386,-9999,-9999,987.3754,-0.02229309,-1.5083466,10.435135,0.12200265,-1.2196773,0.6004877,-2.1821976,-10.484886,4.07753,172.20612,167.70171039999997,-9999,-9999,-0.0231781,-0.06034851,0.012268066,475.0,-9999,-9999,-9999
1477086315490,-9999,-9999,987.42786,-0.15516663,-1.5837555,10.272324,0.011005089,-1.260189,0.4325571,-1.4837265,-10.921478,3.6556244,171.9762,167.81946319999992,-9999,-9999,0.011962891,0.012619019,0.017593384,500.0,-9999,-9999,-9999
1477086315592,-9999,-9999,987.4017,0.10220337,-1.3347626,9.909607,0.2781602,-0.9966651,0.19184685,-1.8331528,-10.834122,3.1490326,171.25726,167.9070265999999,-9999,-9999,-0.045547485,-0.089645386,0.029312134,522.0,-9999,-9999,-9999
1477086315696,-9999,-9999,987.42786,-0.56817627,-1.4927826,10.055649,-0.38735008,-1.113409,0.28885174,-1.6588211,-11.270332,2.727127,171.52942,168.00007719999994,-9999,-9999,-0.024780273,0.06642151,-0.04951477,550.0,-9999,-9999,-9999
1477086315804,-9999,-9999,987.4277,0.22669983,-1.7381897,10.699692,0.3478046,-1.2902311,0.6922016,-1.7457962,-10.310173,3.2337189,170.84448,168.07744779999993,-9999,-9999,-0.12757874,-0.10456848,0.036239624,573.0,-9999,-9999,-9999
1477086315909,-9999,-9999,987.4277,-0.35029602,-1.7070618,9.859329,-0.24913107,-1.155822,-0.06490898,-2.5316238,-10.39753,2.8116226,170.64807,168.16264799999993,-9999,-9999,-0.066329956,0.026473999,1.5258789E-5,592.0,-9999,-9999,-9999
1477086316017,-9999,-9999,987.4275,0.057907104,-1.2629395,9.993408,0.21711878,-0.7536087,0.124409676,-2.5316238,-10.659218,4.41494,168.80145,168.20803119999994,-9999,-9999,-0.024780273,-0.024139404,0.017593384,592.0,-9999,-9999,-9999
1477086316120,-9999,-9999,987.4274,-0.116867065,-1.5167236,9.7444,0.04087597,-0.9308778,-0.17150402,-3.3176422,-10.484695,3.9085388,167.37476,168.22801899999996,-9999,-9999,-0.010940552,0.09251404,-0.019699097,588.0,-9999,-9999,-9999
1477086316225,-9999,-9999,987.47986,0.06150818,-1.7920532,10.4135895,0.1407466,-1.0476084,0.6280308,-4.1906357,-9.961128,3.5711288,165.05219,168.19367819999997,-9999,-9999,-0.046081543,-0.07952881,-0.007446289,580.0,-9999,-9999,-9999
1477086316330,-9999,-9999,987.40125,-0.6998596,-1.4844055,9.82341,-0.58774376,-0.7453354,-0.05155182,-3.8414001,-10.310173,2.5585175,163.38666,168.12317399999992,-9999,-9999,0.014633179,-0.009750366,0.025054932,580.0,-9999,-9999,-9999
1477086316443,-9999,-9999,987.4273,0.70913696,-1.6771393,9.399643,0.84555346,-0.8777486,-0.46091652,-4.0159225,-10.659027,1.7147064,161.755,168.02619399999992,-9999,-9999,-0.03703308,0.0040893555,0.0974884,580.0,-9999,-9999,-9999
1477086316547,-9999,-9999,987.4796,-0.102493286,-1.3910217,10.485413,-0.050872725,-0.5594455,0.6365366,-4.888916,-9.612083,1.8835068,159.70227,167.89372199999994,-9999,-9999,-0.03543091,-0.07846069,-0.051651,592.0,-9999,-9999,-9999
1477086316651,-9999,-9999,987.4272,-0.5538025,-1.7130432,9.877289,-0.4230995,-0.90937316,-0.04030323,-4.5396805,-9.786606,2.6428223,158.62701,167.75278919999994,-9999,-9999,-0.017318726,0.1053009,0.008529663,592.0,-9999,-9999,-9999
1477086316754,-9999,-9999,987.4534,-0.33473206,-1.474823,10.202896,-0.29069623,-0.54952306,0.30762863,-5.412674,-9.262466,3.317833,156.87103,167.58466899999996,-9999,-9999,-0.010406494,-0.058761597,-0.023422241,586.0,-9999,-9999,-9999
1477086316860,-9999,-9999,987.40076,0.45535278,-1.6400299,9.722855,0.5554751,-0.6663457,-0.12827206,-4.6266556,-9.088135,2.8116226,154.64832,167.37570799999995,-9999,-9999,-0.052474976,-0.051834106,0.03303528,586.0,-9999,-9999,-9999
1477086316965,-9999,-9999,987.4529,0.41226196,-1.4951782,10.388443,0.4869762,-0.4493059,0.51881504,-4.627228,-8.651543,2.3052216,153.4494,167.13053459999995,-9999,-9999,-0.028503418,-0.070999146,0.021316528,586.0,-9999,-9999,-9999
1477086317082,-9999,-9999,987.4265,0.03756714,-1.7310028,9.985016,-0.05514077,-0.75104856,0.041374207,-3.4046173,-8.214951,0.28038025,154.24316,166.9060032,-9999,-9999,-0.029571533,-0.03425598,-0.030883789,594.0,-9999,-9999,-9999
1477086317191,-9999,-9999,987.45337,-0.56817627,-1.2569427,10.028122,-0.7320421,-0.20616174,0.06783581,-3.4921646,-8.651733,0.7867813,154.52881,166.693989,-9999,-9999,-0.04396057,-0.08911133,0.004272461,594.0,-9999,-9999,-9999
1477086317294,-9999,-9999,987.4269,0.09024048,-1.143219,9.953903,-0.052039817,-0.0038298368,0.061753273,-3.4049988,-9.262466,1.2928009,155.98279,166.52031479999997,-9999,-9999,-0.03543091,-0.05555725,0.008010864,594.0,-9999,-9999,-9999
1477086317398,-9999,-9999,987.4003,0.72109985,-1.1420288,10.086777,0.4674049,0.01086998,0.23691368,-4.540062,-8.389664,2.3900986,155.521,166.3404052,-9999,-9999,-0.029571533,-0.020935059,0.026107788,594.0,-9999,-9999,-9999
1477086317502,-9999,-9999,987.42676,0.4086609,-0.8762665,9.853348,0.19179587,0.27950346,0.10837555,-3.5793304,-9.000778,1.6305923,155.28223,166.162677,-9999,-9999,0.0034484863,0.020080566,-0.029815674,594.0,-9999,-9999,-9999
1477086317611,-9999,-9999,987.4263,0.361969,-0.6799469,9.882065,0.10122967,0.46174622,0.026028633,-4.103279,-8.826256,1.9680023,155.63092,166.00290539999997,-9999,-9999,-0.055145264,-0.009216309,0.013336182,585.0,-9999,-9999,-9999
