Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473354619655,-9999,-9999,998.36,1.1492168,9.136273,3.9456444,-0.089913726,0.019220352,0.6758721,-23.8125,71.9375,-7.75,26.663757,-0.010995574,0.04642576,0.009773844,1200.0,-9999,-9999,-9999
1473354619769,-9999,-9999,998.44995,0.9959879,9.270349,3.8115692,-0.37008512,0.115940094,0.521785,-24.25,71.8125,-8.4375,26.209991,-0.008552114,0.05375614,-0.007330383,989.0,-9999,-9999,-9999
1473354619888,-9999,-9999,998.38995,1.2641385,9.461885,3.9073372,0.0865376,0.41414833,0.7738483,-23.9375,72.0,-8.75,26.349396,-0.02443461,-0.043982297,0.05497787,989.0,-9999,-9999,-9999
1473354620003,-9999,-9999,998.44995,1.2449849,9.385271,3.86903,-0.07321048,0.19368458,0.42501426,-23.8125,72.0,-8.625,26.650757,0.0036651916,0.009773844,0.034208454,989.0,-9999,-9999,-9999
1473354620125,-9999,-9999,998.50995,1.2258313,9.289502,3.8498764,0.22590983,0.1377449,0.5892365,-23.875,72.125,-8.9375,25.59082,-0.02687807,-0.04642576,0.043982297,989.0,-9999,-9999,-9999
1473354620244,-9999,-9999,998.42,0.6512229,9.11712,3.964798,-0.3418699,0.48450375,0.38381004,-24.3125,72.375,-8.8125,25.630768,0.043982297,0.07574729,-0.03176499,989.0,-9999,-9999,-9999
1473354620354,-9999,-9999,998.44995,1.0342951,9.481039,3.8498764,0.046741486,0.437459,0.26488423,-24.25,72.0,-8.6875,26.107666,0.037873644,-0.02565634,0.02687807,989.0,-9999,-9999,-9999
1473354620471,-9999,-9999,998.42,1.4748282,9.5385,4.271256,0.39203262,0.45867538,0.78258586,-23.5,72.125,-8.5,26.159637,-0.014660766,-0.021991149,0.05009095,989.0,-9999,-9999,-9999
1473354620594,-9999,-9999,998.44995,0.80445176,8.925584,3.2752678,-0.22714818,0.19103336,0.04921484,-23.25,72.0625,-8.1875,26.221619,0.014660766,0.03176499,0.0036651916,989.0,-9999,-9999,-9999
1473354620705,-9999,-9999,998.38995,0.076614454,8.561666,3.620033,-0.98135644,-0.5539017,0.16206694,-24.0625,71.75,-8.75,27.676361,0.004886922,0.12339478,-0.008552114,990.0,-9999,-9999,-9999
1473354620818,-9999,-9999,998.44995,0.9576807,9.3661175,4.309563,-0.44711828,0.21895409,0.9380176,-23.875,71.625,-9.0,28.030579,-0.018325957,0.061086524,0.043982297,990.0,-9999,-9999,-9999
