Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),Mag(x),Mag(y),Mag(z),Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
12:28:55.306,-9999,-9999,1002.6489,0.5457916,1.6265869,9.357666,-31.147766,-4.069519,4.8583984,0.027420044,-0.014678955,0.01524353,80.94382,35.9049304,-79.0548834,-9999
12:28:55.430,-9999,-9999,1002.6489,0.677948,1.4557953,9.651062,-31.312561,-3.4194946,6.1431885,-0.010681152,-0.0034637451,-9.765625E-4,82.107574,35.9049304,-79.0548834,-9999
12:28:55.558,-9999,-9999,1002.6566,0.4702301,1.3547516,9.631424,-31.881714,-2.9083252,4.9072266,0.015914917,0.11366272,0.027145386,83.85727,35.9049304,-79.0548834,-9999
12:28:55.683,-9999,-9999,1002.6565,0.45765686,1.337204,9.482452,-31.07605,-2.0736694,5.6991577,-0.029327393,0.013412476,0.007858276,86.83832,35.9049304,-79.0548834,-9999
12:28:55.814,-9999,-9999,1002.65894,0.48712158,1.2138214,9.518417,-32.681274,-3.1433105,4.4555664,-0.01940918,0.015625,0.009918213,88.904205,35.9049168,-79.0548734,-9999
12:28:55.939,-9999,-9999,1002.65894,0.5738373,1.2232971,9.614944,-30.958557,-2.9769897,5.255127,-0.0030670166,-0.020523071,0.006164551,88.0,35.9049168,-79.0548734,-9999
12:28:56.062,-9999,-9999,1002.66895,0.5671692,1.3366394,9.612335,-32.014465,-3.2089233,7.7178955,-4.4250488E-4,-0.022567749,-0.0090789795,87.048065,35.9049168,-79.0548734,-9999
12:28:56.187,-9999,-9999,1002.66895,0.6074219,1.3140869,9.428421,-33.055115,-4.2419434,7.7178955,0.0067443848,-0.06985474,0.0071105957,86.05788,35.9049168,-79.0548734,-9999
12:28:56.309,-9999,-9999,1002.6789,0.5536957,1.2203827,9.680237,-32.881165,-2.6916504,6.539917,-0.039123535,-0.051742554,-0.014892578,83.1452,35.9049168,-79.0548734,-9999
12:28:56.437,-9999,-9999,1002.6889,0.78466797,1.3205109,9.5199585,-34.17816,-2.9129028,7.1243286,-0.012496948,-0.018585205,1.6784668E-4,81.095764,35.9049168,-79.0548734,-9999
12:28:56.564,-9999,-9999,1002.6789,0.6405487,1.4957123,9.81604,-32.19452,-2.3422241,7.8689575,-0.08760071,0.012176514,-0.008865356,81.0,35.9049168,-79.0548734,-9999
12:28:56.691,-9999,-9999,1002.6789,0.43489075,1.9944,9.288193,-33.03528,-2.8640747,7.1243286,0.13975525,0.08256531,0.007736206,81.95203,35.9049168,-79.0548734,-9999
12:28:56.813,-9999,-9999,1002.6789,0.60809326,1.7182007,9.3485565,-33.106995,-3.703308,6.4682007,-0.09799194,-0.045181274,0.021240234,82.94667,35.9048948,-79.0548632,-9999
12:28:56.937,-9999,-9999,1002.6889,0.5381012,1.7846832,9.585678,-33.52661,-5.055237,7.525635,-0.018478394,0.025604248,0.0037231445,81.09631,35.9048948,-79.0548632,-9999
12:28:57.056,-9999,-9999,1002.6875,0.81785583,1.7767487,9.392563,-31.809998,-3.5049438,8.311462,-0.06893921,-0.05570984,0.031295776,77.12247,35.9048948,-79.0548632,-9999
12:28:57.181,-9999,-9999,1002.6789,0.65130615,1.5924835,9.491669,-31.980896,-4.2755127,9.367371,-0.0027770996,0.05595398,0.017822266,75.09717,35.9048948,-79.0548632,-9999
