Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,DegreesAvg,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1476238058998,-9999,-9999,1009.06,0.2873042,0.9768343,9.682152,0.04727848,0.02639842,-0.07538128,5.75,-22.375,-7.0625,195.05385,194.29205975000002,-9999,-0.019547688,-0.017104227,0.012217305,0.0,-9999,-9999,-9999
1476238059110,-9999,-9999,1008.97,0.21068975,1.0726024,9.682152,-0.0051636696,0.13571376,-0.09596634,5.875,-22.375,-7.5,195.08136,194.31131097560979,-9999,-0.019547688,0.007330383,0.0036651916,0.0,-9999,-9999,-9999
1476238059218,-9999,-9999,1008.97,0.21068975,0.82360536,9.797073,-0.037926212,-0.057350397,0.055923462,5.8125,-22.6875,-6.875,195.15256,194.33134071428572,-9999,-0.018325957,-0.021991149,-0.0012217305,0.0,-9999,-9999,-9999
1476238059325,-9999,-9999,1009.02997,0.19153613,0.6512229,9.758766,-0.023244277,-0.16569424,-0.025177956,5.6875,-22.5,-7.0625,195.09898,194.3491927906977,-9999,-0.039095376,-0.009773844,0.019547688,0.0,-9999,-9999,-9999
1476238059431,-9999,-9999,1008.97,0.30645782,0.61291564,9.643845,0.04018432,-0.13009316,-0.10505581,5.375,-22.8125,-6.875,195.03242,194.3647206818182,-9999,-0.015882496,-0.028099801,-0.012217305,0.0,-9999,-9999,-9999
1476238059535,-9999,-9999,1009.0,0.21068975,0.59376204,9.605537,-0.049876526,-0.18888676,-0.067938805,5.0625,-22.375,-6.8125,194.77016,194.37373044444445,-9999,-0.012217305,-0.002443461,0.008552114,0.0,-9999,-9999,-9999
1476238059645,-9999,-9999,1009.0,0.22984336,0.5363012,9.682152,-0.011238962,-0.2601685,-0.0886364,5.75,-22.125,-7.0625,194.68318,194.38045760869568,-9999,0.02687807,0.0036651916,-0.012217305,0.0,-9999,-9999,-9999
1476238059751,-9999,-9999,1009.02997,0.2873042,0.51714754,9.682152,0.0074023902,-0.22724962,-0.032274246,6.1875,-22.1875,-6.75,194.87137,194.39090255319152,-9999,0.0,-0.02565634,0.004886922,0.0,-9999,-9999,-9999
1476238059857,-9999,-9999,1008.94,0.24899697,0.5554548,9.797073,0.016206563,-0.19888484,0.024734497,5.5,-22.3125,-6.5625,194.83325,194.40011812500003,-9999,0.014660766,-0.015882496,-0.007330383,0.0,-9999,-9999,-9999
1476238059967,-9999,-9999,1008.97,0.36391866,0.7086837,9.605537,0.054379344,-0.10978502,-0.20608425,5.5,-22.0625,-6.5,194.86137,194.40953142857146,-9999,-0.018325957,-0.019547688,0.014660766,0.0,-9999,-9999,-9999
1476238060070,-9999,-9999,1008.94,0.2681506,0.63206923,9.720459,-0.0072673857,-0.13170695,-0.05252266,5.8125,-22.1875,-6.625,194.82227,194.41778620000005,-9999,0.030543262,-0.009773844,-0.004886922,0.0,-9999,-9999,-9999
1476238060178,-9999,-9999,1008.97,0.19153613,0.7086837,9.720459,-0.0252437,-0.1277405,-0.012494087,6.0,-22.1875,-6.9375,194.92789,194.4267954000001,-9999,0.010995574,-0.019547688,-0.009773844,0.0,-9999,-9999,-9999
1476238060291,-9999,-9999,1009.0,0.2873042,0.7661445,9.739613,-0.03046906,-0.022125542,-0.048898697,5.875,-21.6875,-6.75,195.02127,194.44060040000008,-9999,0.039095376,0.02321288,0.02443461,0.0,-9999,-9999,-9999
