Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),Mag(x),Mag(y),Mag(z),Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
12:24:22.202,-9999,-9999,1002.07,-0.49799395,2.566584,8.532935,0.5625,45.8125,20.0625,0.7134906,0.46303585,0.064751714,500.0,-9999,-9999,-9999
12:24:22.320,-9999,-9999,1002.13995,-0.9576807,0.6895301,10.850522,1.0,46.375,17.375,-0.3933972,0.24923302,-0.07086037,402.0,-9999,-9999,-9999
12:24:22.439,-9999,-9999,1002.13995,-1.1683705,1.685518,8.647857,-1.25,46.375,17.0625,0.3848451,-0.4972443,0.17959438,402.0,-9999,-9999,-9999
12:24:22.555,-9999,-9999,1002.13995,-1.1109096,0.80445176,10.04607,0.1875,46.3125,17.3125,-0.39095375,-0.09407325,-0.10262536,542.0,-9999,-9999,-9999
12:24:22.674,-9999,-9999,1002.1,-0.63206923,1.0534488,8.590396,-0.375,46.3125,18.5,0.20647246,0.5546656,0.0061086523,458.0,-9999,-9999,-9999
12:24:22.796,-9999,-9999,1002.07,-0.8810662,0.9768343,9.241618,-0.25,46.875,16.125,-0.16615535,-0.37507126,0.05009095,458.0,-9999,-9999,-9999
12:24:22.911,-9999,-9999,1002.13995,-1.091756,1.4173675,9.854534,-0.25,47.5,16.5625,-0.002443461,0.4007276,-0.021991149,528.0,-9999,-9999,-9999
12:24:23.033,-9999,-9999,1002.1,-0.9959879,1.3215994,9.222465,-0.875,47.1875,16.4375,0.081855945,0.3885103,-0.008552114,766.0,-9999,-9999,-9999
12:24:23.164,-9999,-9999,1002.07,-1.4556746,1.0151415,9.931149,0.0,47.0625,15.375,-0.24556783,-0.48624873,0.06352998,766.0,-9999,-9999,-9999
12:24:23.308,-9999,-9999,1002.13995,-0.9768343,1.091756,9.605537,-0.6875,48.1875,16.9375,-0.062308256,-0.24312437,-0.02076942,766.0,-9999,-9999,-9999
12:24:23.430,-9999,-9999,1002.04,-0.61291564,1.532289,9.241618,-0.5,47.5625,16.8125,0.14905111,0.22602014,-0.047647487,514.0,-9999,-9999,-9999
12:24:23.554,-9999,-9999,1002.1,-1.1492168,1.283292,9.414001,-1.1875,47.3125,15.25,-0.13683382,0.0061086523,0.012217305,514.0,-9999,-9999,-9999
12:24:23.678,-9999,-9999,1002.07,-1.6663644,0.9959879,9.77792,-0.9375,47.0,15.25,-0.064751714,-0.44593164,0.09407325,738.0,-9999,-9999,-9999
